cbsa_code,msa_title
10180,"Abilene, TX"
10420,"Akron, OH"
10500,"Albany, GA"
10740,"Albuquerque, NM"
11020,"Altoona, PA"
11100,"Amarillo, TX"
11460,"Ann Arbor, MI"
11540,"Appleton, WI"
11700,"Asheville, NC"
12620,"Bangor, ME"
12700,"Barnstable Town, MA"
12940,"Baton Rouge, LA"
12980,"Battle Creek, MI"
13020,"Bay City, MI"
13380,"Bellingham, WA"
13460,"Bend, OR"
13740,"Billings, MT"
13780,"Binghamton, NY"
13820,"Birmingham, AL"
13900,"Bismarck, ND"
14020,"Bloomington, IN"
14260,"Boise City, ID"
14500,"Boulder, CO"
14540,"Bowling Green, KY"
16180,"Carson City, NV"
16300,"Cedar Rapids, IA"
16620,"Charleston, WV"
16820,"Charlottesville, VA"
16940,"Cheyenne, WY"
17020,"Chico, CA"
17420,"Cleveland, TN"
17660,"Coeur d'Alene, ID"
17820,"Colorado Springs, CO"
17860,"Columbia, MO"
17900,"Columbia, SC"
18020,"Columbus, IN"
18140,"Columbus, OH"
18580,"Corpus Christi, TX"
19460,"Decatur, AL"
20020,"Dothan, AL"
20740,"Eau Claire, WI"
21300,"Elmira, NY"
21340,"El Paso, TX"
21500,"Erie, PA"
21780,"Evansville, IN"
22180,"Fayetteville, NC"
22380,"Flagstaff, AZ"
22420,"Flint, MI"
22500,"Florence, SC"
22540,"Fond du Lac, WI"
23060,"Fort Wayne, IN"
23420,"Fresno, CA"
23460,"Gadsden, AL"
23540,"Gainesville, FL"
23580,"Gainesville, GA"
24020,"Glens Falls, NY"
24300,"Grand Junction, CO"
24540,"Greeley, CO"
24580,"Green Bay, WI"
24780,"Greenville, NC"
25980,"Hinesville, GA"
26300,"Hot Springs, AR"
26620,"Huntsville, AL"
26820,"Idaho Falls, ID"
26980,"Iowa City, IA"
27060,"Ithaca, NY"
27100,"Jackson, MI"
27140,"Jackson, MS"
27180,"Jackson, TN"
27260,"Jacksonville, FL"
27340,"Jacksonville, NC"
27740,"Johnson City, TN"
27780,"Johnstown, PA"
27860,"Jonesboro, AR"
28740,"Kingston, NY"
28940,"Knoxville, TN"
29020,"Kokomo, IN"
29180,"Lafayette, LA"
29540,"Lancaster, PA"
29700,"Laredo, TX"
29740,"Las Cruces, NM"
29940,"Lawrence, KS"
30020,"Lawton, OK"
30620,"Lima, OH"
30700,"Lincoln, NE"
30980,"Longview, TX"
31180,"Lubbock, TX"
31340,"Lynchburg, VA"
31540,"Madison, WI"
31740,"Manhattan, KS"
31860,"Mankato, MN"
32780,"Medford, OR"
32900,"Merced, CA"
33260,"Midland, TX"
33540,"Missoula, MT"
33660,"Mobile, AL"
33700,"Modesto, CA"
33780,"Monroe, MI"
33860,"Montgomery, AL"
34060,"Morgantown, WV"
35300,"New Haven, CT"
35660,"Niles, MI"
36100,"Ocala, FL"
36220,"Odessa, TX"
36260,"Ogden, UT"
36420,"Oklahoma City, OK"
37900,"Peoria, IL"
38300,"Pittsburgh, PA"
38340,"Pittsfield, MA"
38540,"Pocatello, ID"
38940,"Port St. Lucie, FL"
39380,"Pueblo, CO"
39460,"Punta Gorda, FL"
39660,"Rapid City, SD"
39740,"Reading, PA"
39820,"Redding, CA"
39900,"Reno, NV"
40060,"Richmond, VA"
40340,"Rochester, MN"
40380,"Rochester, NY"
40420,"Rockford, IL"
40660,"Rome, GA"
40980,"Saginaw, MI"
41060,"St. Cloud, MN"
41100,"St. George, UT"
41420,"Salem, OR"
41500,"Salinas, CA"
41540,"Salisbury, MD"
42140,"Santa Fe, NM"
42340,"Savannah, GA"
43100,"Sheboygan, WI"
43900,"Spartanburg, SC"
44100,"Springfield, IL"
44140,"Springfield, MA"
44180,"Springfield, MO"
44220,"Springfield, OH"
44300,"State College, PA"
44940,"Sumter, SC"
45060,"Syracuse, NY"
45220,"Tallahassee, FL"
45460,"Terre Haute, IN"
45780,"Toledo, OH"
45820,"Topeka, KS"
46060,"Tucson, AZ"
46140,"Tulsa, OK"
46220,"Tuscaloosa, AL"
46340,"Tyler, TX"
46700,"Vallejo, CA"
47220,"Vineland, NJ"
47300,"Visalia, CA"
47380,"Waco, TX"
47580,"Warner Robins, GA"
48140,"Wausau, WI"
48620,"Wichita, KS"
48660,"Wichita Falls, TX"
48700,"Williamsport, PA"
48900,"Wilmington, NC"
49340,"Worcester, MA"
49420,"Yakima, WA"
49740,"Yuma, AZ"
